
[0](13:23:17)======== MONITA APP STARTING ===========
[1](13:23:18)Load file konfigurasi
[2](13:23:18)Baca konfig
[3](13:23:18)Baca konfig: OK
[4](13:23:48)Mulai logging data
[5](13:23:51)[0]-- TIME:20081027-132351

[6](13:23:52)[1]-- TIME:20081027-132352

[7](13:23:53)[2]-- TIME:20081027-132353

[8](13:23:54)[3]-- TIME:20081027-132354

[9](13:23:54)192.168.1.110: Timeout
[10](13:23:54)192.168.1.110: Timeout
[11](13:23:55)192.168.1.110: Timeout
[12](13:23:55)192.168.1.110: Timeout
[13](13:23:55)192.168.1.110: Timeout
[14](13:23:55)192.168.1.18: Timeout
[15](13:23:55)192.168.1.19: Timeout
[16](13:23:55)192.168.1.25: Timeout
[17](13:23:55)192.168.1.27: Timeout
[18](13:23:55)192.168.1.39: Timeout
[19](13:23:55)192.168.1.29: Timeout
[20](13:23:55)192.168.1.32: Timeout
[21](13:23:55)192.168.1.31: Timeout
[22](13:23:56)[0]-- TIME:20081027-132356

[23](13:23:57)[1]-- TIME:20081027-132357

[24](13:23:58)[2]-- TIME:20081027-132358

[25](13:23:59)[3]-- TIME:20081027-132359

[26](13:23:59)192.168.1.110: Timeout
[27](13:23:59)192.168.1.110: Timeout
[28](13:23:59)192.168.1.110: Timeout
[29](13:23:59)192.168.1.110: Timeout
[30](13:23:59)192.168.1.110: Timeout
[31](13:23:59)192.168.1.18: Timeout
[32](13:23:59)192.168.1.19: Timeout
[33](13:23:59)192.168.1.25: Timeout
[34](13:23:59)192.168.1.27: Timeout
[35](13:23:59)192.168.1.39: Timeout
[36](13:23:59)192.168.1.29: Timeout
[37](13:23:59)192.168.1.32: Timeout
[38](13:23:59)192.168.1.31: Timeout
[39](13:24:00)[0]-- TIME:20081027-132400

[40](13:24:01)[1]-- TIME:20081027-132401

[41](13:24:02)[2]-- TIME:20081027-132402

[42](13:24:03)[3]-- TIME:20081027-132403

[43](13:24:03)192.168.1.110: Timeout
[44](13:24:03)192.168.1.110: Timeout
[45](13:24:03)192.168.1.110: Timeout
[46](13:24:03)192.168.1.110: Timeout
[47](13:24:03)192.168.1.110: Timeout
[48](13:24:03)192.168.1.18: Timeout
[49](13:24:03)192.168.1.19: Timeout
[50](13:24:03)192.168.1.25: Timeout
[51](13:24:03)192.168.1.27: Timeout
[52](13:24:03)192.168.1.39: Timeout
[53](13:24:03)192.168.1.29: Timeout
[54](13:24:03)192.168.1.32: Timeout
[55](13:24:03)192.168.1.31: Timeout
[56](13:24:04)[0]-- TIME:20081027-132404

[57](13:24:05)[1]-- TIME:20081027-132405

[58](13:24:06)[2]-- TIME:20081027-132406

[59](13:24:07)[3]-- TIME:20081027-132407

[60](13:24:07)192.168.1.110: Timeout
[61](13:24:07)192.168.1.110: Timeout
[62](13:24:07)192.168.1.110: Timeout
[63](13:24:07)192.168.1.110: Timeout
[64](13:24:07)192.168.1.110: Timeout
[65](13:24:07)192.168.1.18: Timeout
[66](13:24:07)192.168.1.19: Timeout
[67](13:24:07)192.168.1.25: Timeout
[68](13:24:07)192.168.1.27: Timeout
