
[0](11:41:22)======== MONITA APP STARTING ===========
[1](11:41:22)Load file konfigurasi
[2](11:41:22)Baca konfig
[3](11:41:22)Baca konfig: OK
[4](11:41:24)Mulai logging data
[5](11:41:26)[0]-- TIME:20090305-114126

[6](11:41:27)[1]-- TIME:20090305-114127

[7](11:41:28)[2]-- TIME:20090305-114128

[8](11:41:29)[3]-- TIME:20090305-114129

[9](11:41:30)[0]-- TIME:20090305-114130

[10](11:41:31)[1]-- TIME:20090305-114131

[11](11:41:32)[2]-- TIME:20090305-114132

[12](11:41:33)[3]-- TIME:20090305-114133

[13](11:41:34)[0]-- TIME:20090305-114134

[14](11:41:35)[1]-- TIME:20090305-114135

[15](11:41:36)[2]-- TIME:20090305-114136

[16](11:41:37)[3]-- TIME:20090305-114137

[17](11:41:38)[0]-- TIME:20090305-114138

[18](11:41:39)[1]-- TIME:20090305-114139

[19](11:41:40)[2]-- TIME:20090305-114140

[20](11:41:41)[3]-- TIME:20090305-114141

[21](11:41:42)[0]-- TIME:20090305-114142

[22](11:41:43)[1]-- TIME:20090305-114143

[23](11:41:44)[2]-- TIME:20090305-114144

[24](11:41:45)[3]-- TIME:20090305-114145

[25](11:41:46)[0]-- TIME:20090305-114146

[26](11:41:47)[1]-- TIME:20090305-114147

[27](11:41:48)[2]-- TIME:20090305-114148

[28](11:41:48)Stop logging data
[29](11:41:49)[2]-- TIME:20090305-114149

[30](11:41:57)Mulai logging data
[31](11:41:59)[0]-- TIME:20090305-114159

[32](11:42:00)[1]-- TIME:20090305-114200

[33](11:42:01)[2]-- TIME:20090305-114201

[34](11:42:02)[3]-- TIME:20090305-114202

[35](11:42:03)[0]-- TIME:20090305-114203

[36](11:42:04)[1]-- TIME:20090305-114204

[37](11:42:05)[2]-- TIME:20090305-114205

[38](11:42:06)[3]-- TIME:20090305-114206

[39](11:42:07)[0]-- TIME:20090305-114207

[40](11:42:08)[1]-- TIME:20090305-114208

[41](11:42:09)[2]-- TIME:20090305-114209

[42](11:42:10)[3]-- TIME:20090305-114210

[43](11:42:11)[0]-- TIME:20090305-114211

[44](11:42:12)[1]-- TIME:20090305-114212

[45](11:42:13)[2]-- TIME:20090305-114213

[46](11:42:14)[3]-- TIME:20090305-114214

[47](11:42:15)[0]-- TIME:20090305-114215

[48](11:42:16)[1]-- TIME:20090305-114216

[49](11:42:17)[2]-- TIME:20090305-114217

[50](11:42:18)[3]-- TIME:20090305-114218

[51](11:42:19)[0]-- TIME:20090305-114219

[52](11:42:20)[1]-- TIME:20090305-114220

[53](11:42:21)[2]-- TIME:20090305-114221

[54](11:42:22)[3]-- TIME:20090305-114222

[55](11:42:23)[0]-- TIME:20090305-114223

[56](11:42:24)[1]-- TIME:20090305-114224

[57](11:42:25)[2]-- TIME:20090305-114225

[58](11:42:26)[3]-- TIME:20090305-114226

[59](11:42:27)[0]-- TIME:20090305-114227

[60](11:42:28)[1]-- TIME:20090305-114228

[61](11:42:29)[2]-- TIME:20090305-114229

[62](11:42:30)[3]-- TIME:20090305-114230

[63](11:42:31)[0]-- TIME:20090305-114231

[64](11:42:32)[1]-- TIME:20090305-114232

[65](11:42:33)[2]-- TIME:20090305-114233

[66](11:42:34)[3]-- TIME:20090305-114234

[67](11:42:35)[0]-- TIME:20090305-114235

[68](11:42:36)[1]-- TIME:20090305-114236

[69](11:42:37)[2]-- TIME:20090305-114237

[70](11:42:38)[3]-- TIME:20090305-114238

[71](11:42:39)[0]-- TIME:20090305-114239

[72](11:42:40)[1]-- TIME:20090305-114240

[73](11:42:41)[2]-- TIME:20090305-114241

[74](11:42:42)[3]-- TIME:20090305-114242

[75](11:42:43)[0]-- TIME:20090305-114243

[76](11:42:44)[1]-- TIME:20090305-114244

[77](11:42:45)[2]-- TIME:20090305-114245

[78](11:42:46)[3]-- TIME:20090305-114246

[79](11:42:47)[0]-- TIME:20090305-114247

[80](11:42:48)[1]-- TIME:20090305-114248

[81](11:42:49)[2]-- TIME:20090305-114249

[82](11:42:50)[3]-- TIME:20090305-114250

[83](11:42:51)[0]-- TIME:20090305-114251

