
[0](13:11:52)======== MONITA APP STARTING ===========
[1](13:11:52)Load file konfigurasi
[2](13:11:52)Baca konfig
[3](13:11:52)Baca konfig: File konfigurasi rusak. Set ke default
[4](16:02:25)Mulai logging data
[5](16:02:27)[0]-- TIME:20090223-160227

[6](16:02:28)[1]-- TIME:20090223-160228

[7](16:02:29)[2]-- TIME:20090223-160229

[8](16:02:30)[3]-- TIME:20090223-160230

[9](16:02:30)192.168.1.130: Timeout
[10](16:02:31)[0]-- TIME:20090223-160231

[11](16:02:32)[1]-- TIME:20090223-160232

[12](16:02:33)[2]-- TIME:20090223-160233

[13](16:02:34)[3]-- TIME:20090223-160234

[14](16:02:34)192.168.1.130: Timeout
[15](16:02:35)[0]-- TIME:20090223-160235

[16](16:02:36)[1]-- TIME:20090223-160236

[17](16:02:37)[2]-- TIME:20090223-160237

[18](16:02:38)[3]-- TIME:20090223-160238

[19](16:02:38)192.168.1.130: Timeout
[20](16:02:39)[0]-- TIME:20090223-160239

[21](16:02:40)[1]-- TIME:20090223-160240

[22](16:02:41)[2]-- TIME:20090223-160241

[23](16:02:42)[3]-- TIME:20090223-160242

[24](16:02:42)192.168.1.130: Timeout
[25](16:02:43)[0]-- TIME:20090223-160243

[26](16:02:44)[1]-- TIME:20090223-160244

[27](16:02:45)[2]-- TIME:20090223-160245

[28](16:02:46)[3]-- TIME:20090223-160246

[29](16:02:46)192.168.1.130: Timeout
[30](16:02:47)[0]-- TIME:20090223-160247

[31](16:02:48)[1]-- TIME:20090223-160248

[32](16:02:49)[2]-- TIME:20090223-160249

[33](16:02:50)[3]-- TIME:20090223-160250

[34](16:02:50)192.168.1.130: Timeout
[35](16:02:51)[0]-- TIME:20090223-160251

[36](16:02:52)[1]-- TIME:20090223-160252

[37](16:02:53)[2]-- TIME:20090223-160253

[38](16:02:54)[3]-- TIME:20090223-160254

[39](16:02:54)192.168.1.130: Timeout
[40](16:02:54)192.168.1.136: Timeout
[41](16:02:55)[0]-- TIME:20090223-160255

[42](16:02:56)[1]-- TIME:20090223-160256

[43](16:02:57)[2]-- TIME:20090223-160257

[44](16:02:58)[3]-- TIME:20090223-160258

[45](16:02:58)192.168.1.130: Timeout
[46](16:02:59)[0]-- TIME:20090223-160259

[47](16:03:00)[1]-- TIME:20090223-160300

[48](16:03:01)[2]-- TIME:20090223-160301

[49](16:03:02)[3]-- TIME:20090223-160302

[50](16:03:02)192.168.1.130: Timeout
[51](16:03:03)[0]-- TIME:20090223-160303

[52](16:03:04)[1]-- TIME:20090223-160304

[53](16:03:05)[2]-- TIME:20090223-160305

[54](16:03:06)[3]-- TIME:20090223-160306

[55](16:03:06)192.168.1.130: Timeout
[56](16:03:07)[0]-- TIME:20090223-160307

[57](16:03:08)[1]-- TIME:20090223-160308

[58](16:03:09)[2]-- TIME:20090223-160309

[59](16:03:10)[3]-- TIME:20090223-160310

[60](16:03:10)192.168.1.130: Timeout
[61](16:03:11)[0]-- TIME:20090223-160311

[62](16:03:12)[1]-- TIME:20090223-160312

[63](16:03:13)[2]-- TIME:20090223-160313

[64](16:03:14)[3]-- TIME:20090223-160314

[65](16:03:14)192.168.1.130: Timeout
[66](16:03:15)[0]-- TIME:20090223-160315

[67](16:03:16)[1]-- TIME:20090223-160316

[68](16:03:17)[2]-- TIME:20090223-160317

[69](16:03:18)[3]-- TIME:20090223-160318

[70](16:03:18)192.168.1.130: Timeout
[71](16:03:19)[0]-- TIME:20090223-160319

[72](16:03:20)[1]-- TIME:20090223-160320

[73](16:03:21)[2]-- TIME:20090223-160321

[74](16:03:22)[3]-- TIME:20090223-160322

[75](16:03:22)192.168.1.130: Timeout
[76](16:03:23)[0]-- TIME:20090223-160323

[77](16:03:24)[1]-- TIME:20090223-160324

[78](16:03:25)[2]-- TIME:20090223-160325

[79](16:03:26)[3]-- TIME:20090223-160326

[80](16:03:26)192.168.1.130: Timeout
[81](16:03:27)[0]-- TIME:20090223-160327

