
[0](10:23:54)======== MONITA APP STARTING ===========
[1](10:23:54)Load file konfigurasi
[2](10:23:54)Baca konfig
[3](10:23:54)Baca konfig: OK
[4](10:24:01)Mulai logging data
[5](10:24:02)[0]-- TIME:20090417-102402

[6](10:24:03)[1]-- TIME:20090417-102403

[7](10:24:04)[2]-- TIME:20090417-102404

[8](10:24:05)[3]-- TIME:20090417-102405

[9](10:24:06)[0]-- TIME:20090417-102406

[10](10:24:07)[1]-- TIME:20090417-102407

[11](10:24:08)[2]-- TIME:20090417-102408

[12](10:24:09)[3]-- TIME:20090417-102409

[13](10:24:10)[0]-- TIME:20090417-102410

[14](10:24:11)[1]-- TIME:20090417-102411

[15](10:24:12)[2]-- TIME:20090417-102412

[16](10:24:13)[3]-- TIME:20090417-102413

[17](10:24:14)[0]-- TIME:20090417-102414

[18](10:24:15)[1]-- TIME:20090417-102415

[19](10:24:16)[2]-- TIME:20090417-102416

[20](10:24:17)[3]-- TIME:20090417-102417

[21](10:24:18)[0]-- TIME:20090417-102418

[22](10:24:19)[1]-- TIME:20090417-102419

[23](10:24:20)[2]-- TIME:20090417-102420

[24](10:24:21)[3]-- TIME:20090417-102421

[25](10:24:22)[0]-- TIME:20090417-102422

[26](10:24:23)[1]-- TIME:20090417-102423

[27](10:24:24)[2]-- TIME:20090417-102424

[28](10:24:25)[3]-- TIME:20090417-102425

[29](10:24:26)[0]-- TIME:20090417-102426

[30](10:24:27)[1]-- TIME:20090417-102427

[31](10:24:28)[2]-- TIME:20090417-102428

[32](10:24:29)[3]-- TIME:20090417-102429

[33](10:24:30)[0]-- TIME:20090417-102430

[34](10:24:31)[1]-- TIME:20090417-102431

[35](10:24:32)[2]-- TIME:20090417-102432

[36](10:24:33)[3]-- TIME:20090417-102433

[37](10:24:34)[0]-- TIME:20090417-102434

[38](10:24:35)[1]-- TIME:20090417-102435

[39](10:24:36)[2]-- TIME:20090417-102436

[40](10:24:37)[3]-- TIME:20090417-102437

[41](10:24:38)[0]-- TIME:20090417-102438

[42](10:24:39)[1]-- TIME:20090417-102439

[43](10:24:40)[2]-- TIME:20090417-102440

[44](10:24:41)[3]-- TIME:20090417-102441

[45](10:24:42)[0]-- TIME:20090417-102442

[46](10:24:43)[1]-- TIME:20090417-102443

[47](10:24:44)[2]-- TIME:20090417-102444

[48](10:24:45)[3]-- TIME:20090417-102445

[49](10:24:46)[0]-- TIME:20090417-102446

[50](10:24:46)Stop logging data
[51](10:24:47)[2]-- TIME:20090417-102447

[52](10:24:55)Mulai logging data
[53](10:24:56)[0]-- TIME:20090417-102456

[54](10:24:57)[1]-- TIME:20090417-102457

[55](10:24:58)[2]-- TIME:20090417-102458

[56](10:24:59)[3]-- TIME:20090417-102459

[57](10:25:00)[0]-- TIME:20090417-102500

[58](10:25:01)[1]-- TIME:20090417-102501

[59](10:25:02)[2]-- TIME:20090417-102502

[60](10:25:03)[3]-- TIME:20090417-102503

[61](10:25:04)[0]-- TIME:20090417-102504

[62](10:25:05)[1]-- TIME:20090417-102505

[63](10:25:06)[2]-- TIME:20090417-102506

[64](10:25:07)[3]-- TIME:20090417-102507

[65](10:25:08)[0]-- TIME:20090417-102508

[66](10:25:09)[1]-- TIME:20090417-102509

[67](10:25:10)[2]-- TIME:20090417-102510

[68](10:25:11)[3]-- TIME:20090417-102511

[69](10:25:12)[0]-- TIME:20090417-102512

[70](10:25:13)[1]-- TIME:20090417-102513

[71](10:25:14)[2]-- TIME:20090417-102514

[72](10:25:15)[3]-- TIME:20090417-102515

[73](10:25:16)[0]-- TIME:20090417-102516

[74](10:25:17)[1]-- TIME:20090417-102517

[75](10:25:18)[2]-- TIME:20090417-102518

[76](10:25:19)[3]-- TIME:20090417-102519

[77](10:25:20)[0]-- TIME:20090417-102520

[78](10:25:21)[1]-- TIME:20090417-102521

[79](10:25:22)[2]-- TIME:20090417-102522

[80](10:25:23)[3]-- TIME:20090417-102523

[81](10:25:23)192.168.1.250: Timeout
[82](10:25:24)[0]-- TIME:20090417-102524

[83](10:25:25)[1]-- TIME:20090417-102525

[84](10:25:26)[2]-- TIME:20090417-102526

[85](10:25:27)[3]-- TIME:20090417-102527

[86](10:25:27)192.168.1.250: Timeout
[87](10:25:28)[0]-- TIME:20090417-102528

[88](10:25:29)[1]-- TIME:20090417-102529

[89](10:25:30)[2]-- TIME:20090417-102530

[90](10:25:31)[3]-- TIME:20090417-102531

[91](10:25:31)192.168.1.250: Timeout
[92](10:25:32)[0]-- TIME:20090417-102532

[93](10:25:33)[1]-- TIME:20090417-102533

[94](10:25:34)[2]-- TIME:20090417-102534

[95](10:25:35)[3]-- TIME:20090417-102535

[96](10:25:35)192.168.1.250: Timeout
[97](10:25:36)[0]-- TIME:20090417-102536

[98](10:25:37)[1]-- TIME:20090417-102537

[99](10:25:38)[2]-- TIME:20090417-102538

[100](10:25:39)[3]-- TIME:20090417-102539

[101](10:25:39)192.168.1.250: Timeout
[102](10:25:40)[0]-- TIME:20090417-102540

[103](10:25:41)[1]-- TIME:20090417-102541

[104](10:25:42)[2]-- TIME:20090417-102542

[105](10:25:43)[3]-- TIME:20090417-102543

[106](10:25:43)192.168.1.250: Timeout
[107](10:25:44)[0]-- TIME:20090417-102544

[108](10:25:45)[1]-- TIME:20090417-102545

[109](10:25:46)[2]-- TIME:20090417-102546

[110](10:25:47)[3]-- TIME:20090417-102547

[111](10:25:47)192.168.1.250: Timeout
[112](10:25:48)[0]-- TIME:20090417-102548

[113](10:25:49)[1]-- TIME:20090417-102549

[114](10:25:50)[2]-- TIME:20090417-102550

[115](10:25:51)[3]-- TIME:20090417-102551

[116](10:25:51)192.168.1.250: Timeout
[117](10:25:52)[0]-- TIME:20090417-102552

[118](10:25:53)[1]-- TIME:20090417-102553

[119](10:25:54)[2]-- TIME:20090417-102554

[120](10:25:55)[3]-- TIME:20090417-102555

