
[0](10:55:49)======== MONITA APP STARTING ===========
[1](10:55:49)Load file konfigurasi
[2](10:55:49)Baca konfig
[3](10:55:49)Baca konfig: OK
[4](10:55:50)Mulai logging data
[5](10:55:51)[0]-- TIME:20081026-105551

[6](10:55:52)[1]-- TIME:20081026-105552

[7](10:55:53)[2]-- TIME:20081026-105553

[8](10:55:54)[3]-- TIME:20081026-105554

[9](10:55:54)192.168.1.31: Timeout
[10](10:55:54)192.168.1.32: Timeout
[11](10:55:55)[0]-- TIME:20081026-105555

[12](10:55:56)[1]-- TIME:20081026-105556

[13](10:55:57)[2]-- TIME:20081026-105557

[14](10:55:58)[3]-- TIME:20081026-105558

[15](10:55:58)192.168.1.31: Timeout
[16](10:55:58)192.168.1.32: Timeout
[17](10:55:59)[0]-- TIME:20081026-105559

[18](10:56:00)[1]-- TIME:20081026-105600

[19](10:56:01)[2]-- TIME:20081026-105601

[20](10:56:02)[3]-- TIME:20081026-105602

[21](10:56:02)192.168.1.31: Timeout
[22](10:56:02)192.168.1.32: Timeout
[23](10:56:03)[0]-- TIME:20081026-105603

[24](10:56:04)[1]-- TIME:20081026-105604

[25](10:56:05)[2]-- TIME:20081026-105605

[26](10:56:06)[3]-- TIME:20081026-105606

[27](10:56:06)192.168.1.31: Timeout
[28](10:56:06)192.168.1.32: Timeout
[29](10:56:07)[0]-- TIME:20081026-105607

[30](10:56:08)[1]-- TIME:20081026-105608

[31](10:56:09)[2]-- TIME:20081026-105609

[32](10:56:10)[3]-- TIME:20081026-105610

[33](10:56:10)192.168.1.31: Timeout
[34](10:56:10)192.168.1.32: Timeout
[35](10:56:11)[0]-- TIME:20081026-105611

[36](10:56:12)[1]-- TIME:20081026-105612

[37](10:56:13)[2]-- TIME:20081026-105613

[38](10:56:14)[3]-- TIME:20081026-105614

[39](10:56:14)192.168.1.31: Timeout
[40](10:56:14)192.168.1.32: Timeout
[41](10:56:15)[0]-- TIME:20081026-105615

[42](10:56:16)[1]-- TIME:20081026-105616

[43](10:56:17)[2]-- TIME:20081026-105617

[44](10:56:18)[3]-- TIME:20081026-105618

[45](10:56:18)192.168.1.31: Timeout
[46](10:56:18)192.168.1.32: Timeout
[47](10:56:19)[0]-- TIME:20081026-105619

[48](10:56:20)[1]-- TIME:20081026-105620

[49](10:56:21)[2]-- TIME:20081026-105621

[50](10:56:22)[3]-- TIME:20081026-105622

[51](10:56:22)192.168.1.31: Timeout
[52](10:56:22)192.168.1.32: Timeout
[53](10:56:23)[0]-- TIME:20081026-105623

[54](10:56:24)[1]-- TIME:20081026-105624

[55](10:56:25)[2]-- TIME:20081026-105625

[56](10:56:26)Stop logging data
[57](10:56:26)[2]-- TIME:20081026-105626

[58](10:56:33)Mulai logging data
[59](10:56:34)[0]-- TIME:20081026-105634

[60](10:56:35)Stop logging data
[61](10:56:35)[2]-- TIME:20081026-105635
