
[0](14:06:53)======== MONITA APP STARTING ===========
[1](14:06:53)Load file konfigurasi
[2](14:06:53)Baca konfig
[3](14:06:53)Baca konfig: OK
[4](14:07:09)Mulai logging data
[5](14:07:10)[0]-- TIME:20090219-140710

[6](14:07:11)Stop logging data
[7](14:07:11)[2]-- TIME:20090219-140711

[8](14:07:21)Mulai logging data
[9](14:07:22)[0]-- TIME:20090219-140722

[10](14:07:23)[1]-- TIME:20090219-140723

[11](14:07:24)[2]-- TIME:20090219-140724

[12](14:07:25)[3]-- TIME:20090219-140725

[13](14:07:25)192.168.1.130: Timeout
[14](14:07:26)[0]-- TIME:20090219-140726

[15](14:07:27)[1]-- TIME:20090219-140727

[16](14:07:28)[2]-- TIME:20090219-140728

[17](14:07:29)[3]-- TIME:20090219-140729

[18](14:07:29)192.168.1.130: Timeout
[19](14:07:30)[0]-- TIME:20090219-140730

[20](14:07:31)[1]-- TIME:20090219-140731

[21](14:07:32)[2]-- TIME:20090219-140732

[22](14:07:33)[3]-- TIME:20090219-140733

[23](14:07:33)192.168.1.130: Timeout
[24](14:07:34)[0]-- TIME:20090219-140734

[25](14:07:35)[1]-- TIME:20090219-140735

[26](14:07:36)[2]-- TIME:20090219-140736

[27](14:07:37)[3]-- TIME:20090219-140737

[28](14:07:37)192.168.1.130: Timeout
[29](14:07:38)[0]-- TIME:20090219-140738

[30](14:07:39)[1]-- TIME:20090219-140739

[31](14:07:40)[2]-- TIME:20090219-140740

[32](14:07:41)[3]-- TIME:20090219-140741

[33](14:07:41)192.168.1.130: Timeout
[34](14:07:42)[0]-- TIME:20090219-140742

[35](14:07:43)[1]-- TIME:20090219-140743

[36](14:07:44)[2]-- TIME:20090219-140744

[37](14:07:45)[3]-- TIME:20090219-140745

[38](14:07:45)192.168.1.130: Timeout
[39](14:07:46)[0]-- TIME:20090219-140746

[40](14:07:47)[1]-- TIME:20090219-140747

[41](14:07:48)[2]-- TIME:20090219-140748

[42](14:07:49)[3]-- TIME:20090219-140749

[43](14:07:49)192.168.1.130: Timeout
[44](14:07:50)[0]-- TIME:20090219-140750

[45](14:07:51)[1]-- TIME:20090219-140751

[46](14:07:52)[2]-- TIME:20090219-140752

[47](14:07:53)[3]-- TIME:20090219-140753

[48](14:07:53)192.168.1.130: Timeout
[49](14:07:54)[0]-- TIME:20090219-140754

[50](14:07:55)[1]-- TIME:20090219-140755

[51](14:07:56)[2]-- TIME:20090219-140756

[52](14:07:57)[3]-- TIME:20090219-140757

[53](14:07:57)192.168.1.130: Timeout
[54](14:07:58)[0]-- TIME:20090219-140758

[55](14:07:59)[1]-- TIME:20090219-140759

[56](14:08:00)[2]-- TIME:20090219-140800

[57](14:08:01)[3]-- TIME:20090219-140801

[58](14:08:01)192.168.1.130: Timeout
[59](14:08:02)[0]-- TIME:20090219-140802

[60](14:08:03)[1]-- TIME:20090219-140803

[61](14:08:04)[2]-- TIME:20090219-140804

[62](14:08:05)[3]-- TIME:20090219-140805

[63](14:08:05)192.168.1.130: Timeout
[64](14:08:06)[0]-- TIME:20090219-140806

[65](14:08:07)[1]-- TIME:20090219-140807

[66](14:08:08)[2]-- TIME:20090219-140808

[67](14:08:09)[3]-- TIME:20090219-140809

[68](14:08:09)192.168.1.130: Timeout
[69](14:08:10)[0]-- TIME:20090219-140810

[70](14:08:11)[1]-- TIME:20090219-140811

[71](14:08:12)[2]-- TIME:20090219-140812

[72](14:08:13)[3]-- TIME:20090219-140813

[73](14:08:13)192.168.1.130: Timeout
[74](14:08:14)[0]-- TIME:20090219-140814

[75](14:08:15)[1]-- TIME:20090219-140815

[76](14:08:16)[2]-- TIME:20090219-140816

[77](14:08:17)[3]-- TIME:20090219-140817

[78](14:08:17)192.168.1.130: Timeout
[79](14:08:18)[0]-- TIME:20090219-140818

[80](14:08:19)[1]-- TIME:20090219-140819

[81](14:08:20)[2]-- TIME:20090219-140820

[82](14:08:21)[3]-- TIME:20090219-140821

[83](14:08:21)192.168.1.130: Timeout
[84](14:08:22)[0]-- TIME:20090219-140822

[85](14:08:23)[1]-- TIME:20090219-140823

[86](14:08:24)[2]-- TIME:20090219-140824

[87](14:08:25)[3]-- TIME:20090219-140825

[88](14:08:25)192.168.1.130: Timeout
[89](14:08:26)[0]-- TIME:20090219-140826

[90](14:08:27)[1]-- TIME:20090219-140827

[91](14:08:28)[2]-- TIME:20090219-140828

[92](14:08:29)[3]-- TIME:20090219-140829

[93](14:08:29)192.168.1.130: Timeout
[94](14:08:30)[0]-- TIME:20090219-140830

[95](14:08:31)[1]-- TIME:20090219-140831

[96](14:08:32)[2]-- TIME:20090219-140832

[97](14:08:33)[3]-- TIME:20090219-140833

[98](14:08:33)192.168.1.130: Timeout
[99](14:08:34)[0]-- TIME:20090219-140834

[100](14:08:35)[1]-- TIME:20090219-140835

[101](14:08:36)[2]-- TIME:20090219-140836

[102](14:08:37)[3]-- TIME:20090219-140837

[103](14:08:37)192.168.1.130: Timeout
[104](14:08:38)[0]-- TIME:20090219-140838

[105](14:08:39)[1]-- TIME:20090219-140839

[106](14:08:40)[2]-- TIME:20090219-140840

[107](14:08:41)[3]-- TIME:20090219-140841

[108](14:08:41)192.168.1.130: Timeout
[109](14:08:42)[0]-- TIME:20090219-140842

[110](14:08:43)[1]-- TIME:20090219-140843

[111](14:08:44)[2]-- TIME:20090219-140844

[112](14:08:45)[3]-- TIME:20090219-140845

[113](14:08:45)192.168.1.130: Timeout
[114](14:08:46)[0]-- TIME:20090219-140846

[115](14:08:47)[1]-- TIME:20090219-140847

[116](14:08:48)[2]-- TIME:20090219-140848

[117](14:08:49)[3]-- TIME:20090219-140849

[118](14:08:49)192.168.1.130: Timeout
[119](14:08:50)[0]-- TIME:20090219-140850

[120](14:08:51)[1]-- TIME:20090219-140851

[121](14:08:52)[2]-- TIME:20090219-140852

[122](14:08:53)[3]-- TIME:20090219-140853

[123](14:08:53)192.168.1.130: Timeout
[124](14:08:54)[0]-- TIME:20090219-140854

[125](14:08:55)[1]-- TIME:20090219-140855

