
[0](10:50:38)======== MONITA APP STARTING ===========
[1](10:50:38)Load file konfigurasi
[2](10:50:38)Baca konfig
[3](10:50:38)Baca konfig: OK
[4](10:50:39)Mulai logging data
[5](10:50:40)[0]-- TIME:20081026-105040

[6](10:50:41)[1]-- TIME:20081026-105041

[7](10:50:42)[2]-- TIME:20081026-105042

[8](10:50:43)[3]-- TIME:20081026-105043

[9](10:50:43)192.168.1.31: Timeout
[10](10:50:43)192.168.1.32: Timeout
[11](10:50:44)[0]-- TIME:20081026-105044

[12](10:50:45)[1]-- TIME:20081026-105045

[13](10:50:46)[2]-- TIME:20081026-105046

[14](10:50:47)[3]-- TIME:20081026-105047

[15](10:50:47)192.168.1.31: Timeout
[16](10:50:47)192.168.1.32: Timeout
[17](10:50:48)[0]-- TIME:20081026-105048

[18](10:50:49)[1]-- TIME:20081026-105049

[19](10:50:50)[2]-- TIME:20081026-105050

[20](10:50:51)[3]-- TIME:20081026-105051

[21](10:50:51)192.168.1.31: Timeout
[22](10:50:51)192.168.1.32: Timeout
[23](10:50:52)[0]-- TIME:20081026-105052

[24](10:50:53)[1]-- TIME:20081026-105053

[25](10:50:54)[2]-- TIME:20081026-105054

[26](10:50:55)[3]-- TIME:20081026-105055

[27](10:50:55)192.168.1.31: Timeout
[28](10:50:55)192.168.1.32: Timeout
[29](10:50:56)[0]-- TIME:20081026-105056

[30](10:50:57)[1]-- TIME:20081026-105057

[31](10:50:58)[2]-- TIME:20081026-105058

[32](10:50:59)[3]-- TIME:20081026-105059

[33](10:50:59)192.168.1.31: Timeout
[34](10:50:59)192.168.1.32: Timeout
[35](10:51:00)[0]-- TIME:20081026-105100

[36](10:51:01)[1]-- TIME:20081026-105101

[37](10:51:02)[2]-- TIME:20081026-105102

[38](10:51:03)[3]-- TIME:20081026-105103

[39](10:51:03)192.168.1.31: Timeout
[40](10:51:03)192.168.1.32: Timeout
[41](10:51:04)[0]-- TIME:20081026-105104

[42](10:51:05)[1]-- TIME:20081026-105105

[43](10:51:06)[2]-- TIME:20081026-105106

[44](10:51:07)[3]-- TIME:20081026-105107

[45](10:51:07)192.168.1.31: Timeout
[46](10:51:07)192.168.1.32: Timeout
[47](10:51:08)[0]-- TIME:20081026-105108

[48](10:51:09)[1]-- TIME:20081026-105109

[49](10:51:10)[2]-- TIME:20081026-105110

[50](10:51:11)[3]-- TIME:20081026-105111

[51](10:51:11)192.168.1.31: Timeout
[52](10:51:11)192.168.1.32: Timeout
[53](10:51:12)[0]-- TIME:20081026-105112

[54](10:51:13)[1]-- TIME:20081026-105113

[55](10:51:14)[2]-- TIME:20081026-105114

[56](10:51:15)[3]-- TIME:20081026-105115

[57](10:51:15)192.168.1.31: Timeout
[58](10:51:15)192.168.1.32: Timeout
[59](10:51:16)[0]-- TIME:20081026-105116

[60](10:51:17)[1]-- TIME:20081026-105117

[61](10:51:18)[2]-- TIME:20081026-105118

[62](10:51:19)[3]-- TIME:20081026-105119

[63](10:51:19)192.168.1.31: Timeout
[64](10:51:19)192.168.1.32: Timeout
[65](10:51:20)[0]-- TIME:20081026-105120

[66](10:51:21)[1]-- TIME:20081026-105121

[67](10:51:22)[2]-- TIME:20081026-105122

[68](10:51:23)[3]-- TIME:20081026-105123

[69](10:51:23)192.168.1.31: Timeout
[70](10:51:23)192.168.1.32: Timeout
[71](10:51:24)[0]-- TIME:20081026-105124

[72](10:51:25)[1]-- TIME:20081026-105125

[73](10:51:26)[2]-- TIME:20081026-105126

[74](10:51:27)[3]-- TIME:20081026-105127

[75](10:51:27)192.168.1.31: Timeout
[76](10:51:27)192.168.1.32: Timeout
[77](10:51:28)[0]-- TIME:20081026-105128

[78](10:51:29)[1]-- TIME:20081026-105129

[79](10:51:30)[2]-- TIME:20081026-105130

[80](10:51:31)[3]-- TIME:20081026-105131

[81](10:51:31)192.168.1.31: Timeout
[82](10:51:31)192.168.1.32: Timeout
[83](10:51:32)[0]-- TIME:20081026-105132

[84](10:51:33)[1]-- TIME:20081026-105133

[85](10:51:34)[2]-- TIME:20081026-105134

[86](10:51:35)[3]-- TIME:20081026-105135

[87](10:51:35)192.168.1.31: Timeout
[88](10:51:35)192.168.1.32: Timeout
[89](10:51:36)[0]-- TIME:20081026-105136

[90](10:51:37)[1]-- TIME:20081026-105137

[91](10:51:38)[2]-- TIME:20081026-105138

[92](10:51:39)[3]-- TIME:20081026-105139

[93](10:51:39)192.168.1.31: Timeout
[94](10:51:39)192.168.1.32: Timeout
[95](10:51:40)[0]-- TIME:20081026-105140

[96](10:51:41)[1]-- TIME:20081026-105141

[97](10:51:42)[2]-- TIME:20081026-105142

[98](10:51:43)[3]-- TIME:20081026-105143

[99](10:51:43)192.168.1.31: Timeout
[100](10:51:43)192.168.1.32: Timeout
[101](10:51:44)[0]-- TIME:20081026-105144

[102](10:51:45)[1]-- TIME:20081026-105145

[103](10:51:46)[2]-- TIME:20081026-105146

[104](10:51:47)[3]-- TIME:20081026-105147

[105](10:51:47)192.168.1.31: Timeout
[106](10:51:47)192.168.1.32: Timeout
[107](10:51:48)[0]-- TIME:20081026-105148

[108](10:51:49)[1]-- TIME:20081026-105149

[109](10:51:50)[2]-- TIME:20081026-105150

[110](10:51:51)[3]-- TIME:20081026-105151

[111](10:51:51)192.168.1.31: Timeout
[112](10:51:51)192.168.1.32: Timeout
[113](10:51:52)[0]-- TIME:20081026-105152

[114](10:51:53)[1]-- TIME:20081026-105153

[115](10:51:54)[2]-- TIME:20081026-105154

[116](10:51:55)[3]-- TIME:20081026-105155

[117](10:51:55)192.168.1.31: Timeout
[118](10:51:55)192.168.1.32: Timeout
[119](10:51:56)[0]-- TIME:20081026-105156

[120](10:51:57)[1]-- TIME:20081026-105157

[121](10:51:58)[2]-- TIME:20081026-105158

[122](10:51:59)[3]-- TIME:20081026-105159

[123](10:51:59)192.168.1.31: Timeout
[124](10:51:59)192.168.1.32: Timeout
[125](10:52:00)[0]-- TIME:20081026-105200

[126](10:52:01)[1]-- TIME:20081026-105201

[127](10:52:02)[2]-- TIME:20081026-105202

[128](10:52:03)[3]-- TIME:20081026-105203

[129](10:52:03)192.168.1.31: Timeout
[130](10:52:03)192.168.1.32: Timeout
[131](10:52:04)[0]-- TIME:20081026-105204

[132](10:52:05)[1]-- TIME:20081026-105205

[133](10:52:06)[2]-- TIME:20081026-105206

[134](10:52:07)[3]-- TIME:20081026-105207

[135](10:52:07)192.168.1.31: Timeout
[136](10:52:07)192.168.1.32: Timeout
[137](10:52:08)[0]-- TIME:20081026-105208

[138](10:52:09)[1]-- TIME:20081026-105209

[139](10:52:10)[2]-- TIME:20081026-105210

[140](10:52:11)[3]-- TIME:20081026-105211

[141](10:52:11)192.168.1.31: Timeout
[142](10:52:11)192.168.1.32: Timeout
[143](10:52:12)[0]-- TIME:20081026-105212

[144](10:52:13)[1]-- TIME:20081026-105213

[145](10:52:14)[2]-- TIME:20081026-105214

[146](10:52:15)[3]-- TIME:20081026-105215

[147](10:52:15)192.168.1.31: Timeout
[148](10:52:15)192.168.1.32: Timeout
[149](10:52:16)[0]-- TIME:20081026-105216

[150](10:52:17)[1]-- TIME:20081026-105217

[151](10:52:18)[2]-- TIME:20081026-105218

[152](10:52:19)Stop logging data
[153](10:52:19)[2]-- TIME:20081026-105219

[154](10:52:32)Mulai logging data
[155](10:52:33)[0]-- TIME:20081026-105233

[156](10:52:34)Stop logging data
[157](10:52:34)[2]-- TIME:20081026-105234

[158](10:55:46)======== MONITA APP CLOSING =========
[159](10:55:46)============ BYE BYE ===============
