
[0](12:09:57)======== MONITA APP STARTING ===========
[1](12:09:57)Load file konfigurasi
[2](12:09:57)Baca konfig
[3](12:09:57)Baca konfig: OK
[4](12:10:05)Mulai logging data
[5](12:10:06)[0]-- TIME:20090304-121006

[6](12:10:07)[1]-- TIME:20090304-121007

[7](12:10:08)[2]-- TIME:20090304-121008

[8](12:10:09)[3]-- TIME:20090304-121009

[9](12:10:10)[0]-- TIME:20090304-121010

[10](12:10:11)[1]-- TIME:20090304-121011

[11](12:10:12)[2]-- TIME:20090304-121012

[12](12:10:13)[3]-- TIME:20090304-121013

[13](12:10:14)[0]-- TIME:20090304-121014

[14](12:10:15)[1]-- TIME:20090304-121015

[15](12:10:16)[2]-- TIME:20090304-121016

[16](12:10:17)[3]-- TIME:20090304-121017

[17](12:10:18)[0]-- TIME:20090304-121018

[18](12:10:19)[1]-- TIME:20090304-121019

[19](12:10:20)[2]-- TIME:20090304-121020

[20](12:10:21)[3]-- TIME:20090304-121021

[21](12:10:22)[0]-- TIME:20090304-121022

[22](12:10:23)[1]-- TIME:20090304-121023

[23](12:10:24)[2]-- TIME:20090304-121024

[24](12:10:25)[3]-- TIME:20090304-121025

[25](12:10:26)[0]-- TIME:20090304-121026

[26](12:10:27)[1]-- TIME:20090304-121027

[27](12:10:28)[2]-- TIME:20090304-121028

[28](12:10:29)[3]-- TIME:20090304-121029

[29](12:10:30)[0]-- TIME:20090304-121030

[30](12:10:31)[1]-- TIME:20090304-121031

[31](12:10:32)[2]-- TIME:20090304-121032

[32](12:10:33)[3]-- TIME:20090304-121033

[33](12:10:34)[0]-- TIME:20090304-121034

[34](12:10:35)[1]-- TIME:20090304-121035

[35](12:10:36)[2]-- TIME:20090304-121036

[36](12:10:37)[3]-- TIME:20090304-121037

[37](12:10:38)[0]-- TIME:20090304-121038

[38](12:10:39)[1]-- TIME:20090304-121039

[39](12:10:40)[2]-- TIME:20090304-121040

[40](12:10:41)[3]-- TIME:20090304-121041

[41](12:10:42)[0]-- TIME:20090304-121042

[42](12:10:43)[1]-- TIME:20090304-121043

[43](12:10:44)[2]-- TIME:20090304-121044

[44](12:10:45)[3]-- TIME:20090304-121045

[45](12:10:46)[0]-- TIME:20090304-121046

[46](12:10:47)[1]-- TIME:20090304-121047

[47](12:10:48)[2]-- TIME:20090304-121048

[48](12:10:49)[3]-- TIME:20090304-121049

[49](12:10:50)[0]-- TIME:20090304-121050

[50](12:10:51)[1]-- TIME:20090304-121051

[51](12:10:52)[2]-- TIME:20090304-121052

[52](12:10:53)[3]-- TIME:20090304-121053

[53](12:10:54)[0]-- TIME:20090304-121054

[54](12:10:55)[1]-- TIME:20090304-121055

[55](12:10:56)[2]-- TIME:20090304-121056

[56](12:10:57)[3]-- TIME:20090304-121057

[57](12:10:58)[0]-- TIME:20090304-121058

[58](12:10:59)[1]-- TIME:20090304-121059

[59](12:11:00)[2]-- TIME:20090304-121100

[60](12:11:01)[3]-- TIME:20090304-121101

[61](12:11:02)[0]-- TIME:20090304-121102

[62](12:11:03)[1]-- TIME:20090304-121103

[63](12:11:04)[2]-- TIME:20090304-121104

[64](12:11:05)[3]-- TIME:20090304-121105

[65](12:11:06)[0]-- TIME:20090304-121106

[66](12:11:07)[1]-- TIME:20090304-121107

[67](12:11:08)[2]-- TIME:20090304-121108

[68](12:11:09)[3]-- TIME:20090304-121109

[69](12:11:10)[0]-- TIME:20090304-121110

[70](12:11:11)[1]-- TIME:20090304-121111

[71](12:11:12)[2]-- TIME:20090304-121112

[72](12:11:13)[3]-- TIME:20090304-121113

[73](12:11:14)[0]-- TIME:20090304-121114

[74](12:11:15)[1]-- TIME:20090304-121115

[75](12:11:16)[2]-- TIME:20090304-121116

[76](12:11:17)[3]-- TIME:20090304-121117

[77](12:11:18)[0]-- TIME:20090304-121118

[78](12:11:19)[1]-- TIME:20090304-121119

[79](12:11:20)[2]-- TIME:20090304-121120

[80](12:11:21)[3]-- TIME:20090304-121121

[81](12:11:22)[0]-- TIME:20090304-121122

[82](12:11:23)[1]-- TIME:20090304-121123

[83](12:11:24)[2]-- TIME:20090304-121124

[84](12:11:25)[3]-- TIME:20090304-121125

[85](12:11:26)[0]-- TIME:20090304-121126

[86](12:11:27)[1]-- TIME:20090304-121127

[87](12:11:28)[2]-- TIME:20090304-121128

[88](12:11:29)[3]-- TIME:20090304-121129

[89](12:11:30)[0]-- TIME:20090304-121130

[90](12:11:31)[1]-- TIME:20090304-121131

[91](12:11:32)[2]-- TIME:20090304-121132

[92](12:11:33)[3]-- TIME:20090304-121133

