
[0](20:20:07)======== MONITA APP STARTING ===========
[1](20:20:07)Load file konfigurasi
[2](20:20:07)Baca konfig
[3](20:20:07)Baca konfig: File konfigurasi rusak. Set ke default
[4](20:20:09)Mulai logging data
[5](20:20:10)[0]-- TIME:20090223-202010

[6](20:20:11)[1]-- TIME:20090223-202011

[7](20:20:12)[2]-- TIME:20090223-202012

[8](20:20:13)[3]-- TIME:20090223-202013

[9](20:20:13)192.168.1.130: Timeout
[10](20:20:14)[0]-- TIME:20090223-202014

[11](20:20:15)[1]-- TIME:20090223-202015

[12](20:20:16)[2]-- TIME:20090223-202016

[13](20:20:17)[3]-- TIME:20090223-202017

[14](20:20:17)192.168.1.130: Timeout
[15](20:20:18)[0]-- TIME:20090223-202018

[16](20:20:19)[1]-- TIME:20090223-202019

[17](20:20:20)[2]-- TIME:20090223-202020

[18](20:20:21)[3]-- TIME:20090223-202021

[19](20:20:21)192.168.1.130: Timeout
[20](20:20:21)192.168.1.136: Timeout
[21](20:20:22)[0]-- TIME:20090223-202022

[22](20:20:23)[1]-- TIME:20090223-202023

[23](20:20:24)[2]-- TIME:20090223-202024

[24](20:20:25)[3]-- TIME:20090223-202025

[25](20:20:25)192.168.1.130: Timeout
[26](20:20:26)[0]-- TIME:20090223-202026

[27](20:20:27)[1]-- TIME:20090223-202027

[28](20:20:28)[2]-- TIME:20090223-202028

[29](20:20:29)[3]-- TIME:20090223-202029

[30](20:20:29)192.168.1.130: Timeout
[31](20:20:30)[0]-- TIME:20090223-202030

[32](20:20:31)[1]-- TIME:20090223-202031

[33](20:20:32)[2]-- TIME:20090223-202032

[34](20:20:33)[3]-- TIME:20090223-202033

[35](20:20:33)192.168.1.130: Timeout
[36](20:20:33)192.168.1.136: Timeout
[37](20:20:34)[0]-- TIME:20090223-202034

[38](20:20:35)[1]-- TIME:20090223-202035

[39](20:20:36)[2]-- TIME:20090223-202036

[40](20:20:37)[3]-- TIME:20090223-202037

[41](20:20:37)192.168.1.130: Timeout
[42](20:20:38)[0]-- TIME:20090223-202038

[43](20:20:39)[1]-- TIME:20090223-202039

[44](20:20:40)[2]-- TIME:20090223-202040

[45](20:20:41)[3]-- TIME:20090223-202041

[46](20:20:41)192.168.1.130: Timeout
[47](20:20:42)[0]-- TIME:20090223-202042

[48](20:20:43)[1]-- TIME:20090223-202043

[49](20:20:44)[2]-- TIME:20090223-202044

[50](20:20:45)[3]-- TIME:20090223-202045

[51](20:20:46)192.168.1.130: Timeout
[52](20:20:46)[0]-- TIME:20090223-202046

[53](20:20:47)[1]-- TIME:20090223-202047

[54](20:20:48)[2]-- TIME:20090223-202048

[55](20:20:49)[3]-- TIME:20090223-202049

[56](20:20:49)192.168.1.130: Timeout
[57](20:20:50)[0]-- TIME:20090223-202050

[58](20:20:51)[1]-- TIME:20090223-202051

[59](20:20:52)[2]-- TIME:20090223-202052

[60](20:20:53)[3]-- TIME:20090223-202053

[61](20:20:53)192.168.1.130: Timeout
[62](20:20:54)[0]-- TIME:20090223-202054

[63](20:20:55)[1]-- TIME:20090223-202055

[64](20:20:56)[2]-- TIME:20090223-202056

[65](20:20:57)[3]-- TIME:20090223-202057

[66](20:20:57)192.168.1.130: Timeout
[67](20:20:58)[0]-- TIME:20090223-202058

[68](20:20:59)[1]-- TIME:20090223-202059

[69](20:21:00)[2]-- TIME:20090223-202100

[70](20:21:01)[3]-- TIME:20090223-202101

[71](20:21:01)192.168.1.130: Timeout
