
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[130](10:03:08)192.168.1.32: Timeout
[131](10:03:09)[0]-- TIME:20081026-100309

[132](10:03:10)[1]-- TIME:20081026-100310

[133](10:03:11)[2]-- TIME:20081026-100311

[134](10:03:12)[3]-- TIME:20081026-100312

[135](10:03:12)192.168.1.31: Timeout
[136](10:03:12)192.168.1.32: Timeout
[137](10:03:13)[0]-- TIME:20081026-100313

[138](10:03:14)[1]-- TIME:20081026-100314

[139](10:03:15)[2]-- TIME:20081026-100315

[140](10:03:16)[3]-- TIME:20081026-100316

[141](10:03:16)192.168.1.31: Timeout
[142](10:03:16)192.168.1.32: Timeout
[143](10:03:17)[0]-- TIME:20081026-100317

[144](10:03:18)[1]-- TIME:20081026-100318

[145](10:03:19)[2]-- TIME:20081026-100319

[146](10:03:20)[3]-- TIME:20081026-100320

[147](10:03:20)192.168.1.31: Timeout
[148](10:03:20)192.168.1.32: Timeout
[149](10:03:21)[0]-- TIME:20081026-100321

[150](10:03:22)[1]-- TIME:20081026-100322

[151](10:03:23)[2]-- TIME:20081026-100323

[152](10:03:24)[3]-- TIME:20081026-100324

[153](10:03:24)192.168.1.31: Timeout
[154](10:03:24)192.168.1.32: Timeout
[155](10:03:25)[0]-- TIME:20081026-100325

[156](10:03:26)[1]-- TIME:20081026-100326

[157](10:03:27)[2]-- TIME:20081026-100327

[158](10:03:28)[3]-- TIME:20081026-100328

[159](10:03:28)192.168.1.31: Timeout
[160](10:03:28)192.168.1.32: Timeout
[161](10:03:29)[0]-- TIME:20081026-100329

[162](10:03:30)[1]-- TIME:20081026-100330

[163](10:03:31)[2]-- TIME:20081026-100331

[164](10:03:32)[3]-- TIME:20081026-100332

[165](10:03:32)192.168.1.31: Timeout
[166](10:03:32)192.168.1.32: Timeout
[167](10:03:33)[0]-- TIME:20081026-100333

[168](10:03:34)[1]-- TIME:20081026-100334

[169](10:03:35)[2]-- TIME:20081026-100335

[170](10:03:36)[3]-- TIME:20081026-100336

[171](10:03:36)192.168.1.31: Timeout
[172](10:03:36)192.168.1.32: Timeout
[173](10:03:37)[0]-- TIME:20081026-100337

[174](10:03:38)[1]-- TIME:20081026-100338

[175](10:03:39)[2]-- TIME:20081026-100339

[176](10:03:40)[3]-- TIME:20081026-100340

[177](10:03:40)192.168.1.31: Timeout
[178](10:03:40)192.168.1.32: Timeout
[179](10:03:41)[0]-- TIME:20081026-100341

[180](10:03:42)[1]-- TIME:20081026-100342

[181](10:03:43)[2]-- TIME:20081026-100343

[182](10:03:44)[3]-- TIME:20081026-100344

[183](10:03:44)192.168.1.31: Timeout
[184](10:03:44)192.168.1.32: Timeout
[185](10:03:45)[0]-- TIME:20081026-100345

[186](10:03:46)[1]-- TIME:20081026-100346

[187](10:03:47)[2]-- TIME:20081026-100347

[188](10:03:48)[3]-- TIME:20081026-100348

[189](10:03:48)192.168.1.31: Timeout
[190](10:03:48)192.168.1.32: Timeout
[191](10:03:49)[0]-- TIME:20081026-100349

[192](10:03:50)[1]-- TIME:20081026-100350

[193](10:03:51)[2]-- TIME:20081026-100351

[194](10:03:52)[3]-- TIME:20081026-100352

[195](10:03:52)192.168.1.31: Timeout
[196](10:03:52)192.168.1.32: Timeout
[197](10:03:53)[0]-- TIME:20081026-100353

[198](10:03:54)[1]-- TIME:20081026-100354

[199](10:03:55)[2]-- TIME:20081026-100355

[200](10:03:56)[3]-- TIME:20081026-100356

[201](10:03:56)192.168.1.31: Timeout
[202](10:03:56)192.168.1.32: Timeout
[203](10:03:57)[0]-- TIME:20081026-100357

[204](10:03:58)[1]-- TIME:20081026-100358

[205](10:03:59)[2]-- TIME:20081026-100359

[206](10:04:00)[3]-- TIME:20081026-100400

[207](10:04:00)192.168.1.31: Timeout
[208](10:04:00)192.168.1.32: Timeout
[209](10:04:01)[0]-- TIME:20081026-100401

[210](10:04:02)[1]-- TIME:20081026-100402

[211](10:04:03)[2]-- TIME:20081026-100403

[212](10:04:04)[3]-- TIME:20081026-100404

[213](10:04:04)192.168.1.31: Timeout
[214](10:04:04)192.168.1.32: Timeout
[215](10:04:05)[0]-- TIME:20081026-100405

[216](10:04:06)[1]-- TIME:20081026-100406

[217](10:04:07)[2]-- TIME:20081026-100407

[218](10:04:08)[3]-- TIME:20081026-100408

[219](10:04:08)192.168.1.31: Timeout
[220](10:04:08)192.168.1.32: Timeout
[221](10:04:09)[0]-- TIME:20081026-100409

[222](10:04:10)[1]-- TIME:20081026-100410

[223](10:04:11)[2]-- TIME:20081026-100411

[224](10:04:12)[3]-- TIME:20081026-100412

[225](10:04:12)192.168.1.31: Timeout
[226](10:04:12)192.168.1.32: Timeout
[227](10:04:13)[0]-- TIME:20081026-100413

[228](10:04:14)[1]-- TIME:20081026-100414

[229](10:04:15)[2]-- TIME:20081026-100415

[230](10:04:16)[3]-- TIME:20081026-100416

[231](10:04:16)192.168.1.31: Timeout
[232](10:04:16)192.168.1.32: Timeout
[233](10:04:17)[0]-- TIME:20081026-100417

[234](10:04:18)[1]-- TIME:20081026-100418

[235](10:04:19)[2]-- TIME:20081026-100419

[236](10:04:20)[3]-- TIME:20081026-100420

[237](10:04:20)192.168.1.31: Timeout
[238](10:04:20)192.168.1.32: Timeout
[239](10:04:21)[0]-- TIME:20081026-100421

[240](10:04:22)[1]-- TIME:20081026-100422

[241](10:04:23)[2]-- TIME:20081026-100423

[242](10:04:24)[3]-- TIME:20081026-100424

