
[0](19:38:08)======== MONITA APP STARTING ===========
[1](19:38:08)Load file konfigurasi
[2](19:38:08)Baca konfig
[3](19:38:08)Baca konfig: File konfigurasi rusak. Set ke default
[4](19:38:09)Mulai logging data
[5](19:38:10)[0]-- TIME:20090223-193810

[6](19:38:11)[1]-- TIME:20090223-193811

[7](19:38:12)[2]-- TIME:20090223-193812

[8](19:38:13)[3]-- TIME:20090223-193813

[9](19:38:13)192.168.1.130: Timeout
[10](19:38:14)[0]-- TIME:20090223-193814

[11](19:38:15)[1]-- TIME:20090223-193815

[12](19:38:16)[2]-- TIME:20090223-193816

[13](19:38:17)[3]-- TIME:20090223-193817

[14](19:38:17)192.168.1.130: Timeout
[15](19:38:18)[0]-- TIME:20090223-193818

[16](19:38:19)[1]-- TIME:20090223-193819

[17](19:38:20)[2]-- TIME:20090223-193820

[18](19:38:21)[3]-- TIME:20090223-193821

[19](19:38:21)192.168.1.130: Timeout
[20](19:38:21)192.168.1.136: Timeout
[21](19:38:22)[0]-- TIME:20090223-193822

[22](19:38:23)[1]-- TIME:20090223-193823

[23](19:38:24)[2]-- TIME:20090223-193824

[24](19:38:25)[3]-- TIME:20090223-193825

[25](19:38:25)192.168.1.130: Timeout
[26](19:38:26)[0]-- TIME:20090223-193826

[27](19:38:27)[1]-- TIME:20090223-193827

[28](19:38:28)[2]-- TIME:20090223-193828

[29](19:38:29)[3]-- TIME:20090223-193829

[30](19:38:29)192.168.1.130: Timeout
[31](19:38:30)[0]-- TIME:20090223-193830

[32](19:38:31)[1]-- TIME:20090223-193831

[33](19:38:32)[2]-- TIME:20090223-193832

[34](19:38:33)[3]-- TIME:20090223-193833

[35](19:38:33)192.168.1.130: Timeout
[36](19:38:34)[0]-- TIME:20090223-193834

[37](19:38:35)[1]-- TIME:20090223-193835

[38](19:38:36)[2]-- TIME:20090223-193836

[39](19:38:37)[3]-- TIME:20090223-193837

[40](19:38:37)192.168.1.130: Timeout
[41](19:38:38)[0]-- TIME:20090223-193838

[42](19:38:39)[1]-- TIME:20090223-193839

[43](19:38:40)[2]-- TIME:20090223-193840

[44](19:38:41)[3]-- TIME:20090223-193841

[45](19:38:41)192.168.1.130: Timeout
[46](19:38:42)[0]-- TIME:20090223-193842

[47](19:38:43)[1]-- TIME:20090223-193843

[48](19:38:44)[2]-- TIME:20090223-193844

[49](19:38:45)[3]-- TIME:20090223-193845

[50](19:38:45)192.168.1.130: Timeout
[51](19:38:46)[0]-- TIME:20090223-193846

[52](19:38:47)[1]-- TIME:20090223-193847

[53](19:38:48)[2]-- TIME:20090223-193848

[54](19:38:49)[3]-- TIME:20090223-193849

[55](19:38:49)192.168.1.130: Timeout
[56](19:38:50)[0]-- TIME:20090223-193850

[57](19:38:51)[1]-- TIME:20090223-193851

[58](19:38:52)[2]-- TIME:20090223-193852

[59](19:38:53)[3]-- TIME:20090223-193853

[60](19:38:53)192.168.1.130: Timeout
[61](19:38:54)[0]-- TIME:20090223-193854

[62](19:38:55)[1]-- TIME:20090223-193855

[63](19:38:56)[2]-- TIME:20090223-193856

[64](19:38:57)[3]-- TIME:20090223-193857

[65](19:38:57)192.168.1.130: Timeout
[66](19:38:58)[0]-- TIME:20090223-193858

[67](19:38:59)[1]-- TIME:20090223-193859

[68](19:39:00)[2]-- TIME:20090223-193900
